Date,Country,Distributor,Brand,Operator,Unit Cost,Amount,Unit Price,Sales,Year,Quarter,Month,Month Name,Month & Year,Week Day,Day Name,Week Number,Quarter (Q)
24-05-2018,Colombia,Metro,Apple,Tuenti,750,89,1200,106800,2018,2,5,May,May-18,4,Thu,21,Q2
31-05-2020,El Salvador,Saga Falabella,Apple,Tuenti,750,34,1200,40800,2020,2,5,May,May-20,7,Sun,22,Q2
30-08-2021,Switzerland,Metro,Apple,Tuenti,750,18,1200,21600,2021,3,8,Aug,Aug-21,1,Mon,36,Q3
03-08-2021,Mexico,Oeschle,Apple,Tuenti,750,129,1200,154800,2021,3,8,Aug,Aug-21,2,Tue,32,Q3
21-03-2018,Paraguay,Ripley,Apple,Tuenti,750,95,1200,114000,2018,1,3,Mar,Mar-18,3,Wed,12,Q1
21-01-2018,Cuba,Ripley,Apple,Tuenti,750,25,1200,30000,2018,1,1,Jan,Jan-18,7,Sun,3,Q1
03-04-2021,Cuba,Ripley,Apple,Tuenti,750,19,1200,22800,2021,2,4,Apr,Apr-21,6,Sat,14,Q2
31-10-2020,Jamaica,Oeschle,Apple,Tuenti,750,50,1200,60000,2020,4,10,Oct,Oct-20,6,Sat,44,Q4
19-09-2019,USA,Saga Falabella,Apple,Tuenti,750,16,1200,19200,2019,3,9,Sep,Sep-19,4,Thu,38,Q3
08-06-2019,El Salvador,Metro,Apple,Tuenti,750,15,1200,18000,2019,2,6,Jun,Jun-19,6,Sat,23,Q2
14-10-2021,USA,Plaza Vea,Apple,Tuenti,750,185,1200,222000,2021,4,10,Oct,Oct-21,4,Thu,42,Q4
09-05-2021,USA,Metro,Apple,Tuenti,750,89,1200,106800,2021,2,5,May,May-21,7,Sun,19,Q2
06-07-2019,Colombia,Tottus,Apple,Tuenti,750,250,1200,300000,2019,3,7,Jul,Jul-19,6,Sat,27,Q3
03-06-2020,Cuba,Plaza Vea,Apple,Tuenti,750,94,1200,112800,2020,2,6,Jun,Jun-20,3,Wed,23,Q2
03-12-2021,Ireland,Oeschle,Apple,Tuenti,750,31,1200,37200,2021,4,12,Dec,Dec-21,5,Fri,49,Q4
21-02-2020,Cuba,Saga Falabella,Apple,Tuenti,750,39,1200,46800,2020,1,2,Feb,Feb-20,5,Fri,8,Q1
23-02-2021,Chile,Ripley,Apple,Tuenti,750,60,1200,72000,2021,1,2,Feb,Feb-21,2,Tue,9,Q1
06-09-2019,Spain,Plaza Vea,Apple,Tuenti,750,166,1200,199200,2019,3,9,Sep,Sep-19,5,Fri,36,Q3
22-12-2018,Germany,Tottus,Apple,Tuenti,750,130,1200,156000,2018,4,12,Dec,Dec-18,6,Sat,51,Q4
13-05-2018,Cuba,Oeschle,Apple,Tuenti,750,57,1200,68400,2018,2,5,May,May-18,7,Sun,19,Q2
26-07-2019,Denmark,Saga Falabella,Apple,Tuenti,750,16,1200,19200,2019,3,7,Jul,Jul-19,5,Fri,30,Q3
31-01-2020,Denmark,Plaza Vea,Apple,Tuenti,750,69,1200,82800,2020,1,1,Jan,Jan-20,5,Fri,5,Q1
30-07-2021,Colombia,Oeschle,Apple,Tuenti,750,157,1200,188400,2021,3,7,Jul,Jul-21,5,Fri,31,Q3
09-11-2019,Uruguay,Ripley,Apple,Tuenti,750,53,1200,63600,2019,4,11,Nov,Nov-19,6,Sat,45,Q4
12-06-2021,El Salvador,Metro,Apple,Tuenti,750,138,1200,165600,2021,2,6,Jun,Jun-21,6,Sat,24,Q2
27-05-2021,Venezuela,Metro,Apple,Tuenti,750,92,1200,110400,2021,2,5,May,May-21,4,Thu,22,Q2
19-06-2018,Portugal,Metro,Apple,Tuenti,750,135,1200,162000,2018,2,6,Jun,Jun-18,2,Tue,25,Q2
13-09-2018,Switzerland,Plaza Vea,Apple,Tuenti,750,176,1200,211200,2018,3,9,Sep,Sep-18,4,Thu,37,Q3
01-01-2019,Denmark,Oeschle,Apple,Tuenti,750,105,1200,126000,2019,1,1,Jan,Jan-19,2,Tue,1,Q1
08-01-2019,Brasil,Plaza Vea,Apple,Tuenti,750,153,1200,183600,2019,1,1,Jan,Jan-19,2,Tue,2,Q1
27-06-2018,Brasil,Metro,Apple,Tuenti,750,86,1200,103200,2018,2,6,Jun,Jun-18,3,Wed,26,Q2
27-03-2018,El Salvador,Oeschle,Apple,Tuenti,750,126,1200,151200,2018,1,3,Mar,Mar-18,2,Tue,13,Q1
28-10-2020,Germany,Tottus,Apple,Tuenti,750,64,1200,76800,2020,4,10,Oct,Oct-20,3,Wed,44,Q4
23-12-2021,Jamaica,Saga Falabella,Apple,Tuenti,750,5,1200,6000,2021,4,12,Dec,Dec-21,4,Thu,52,Q4
